instance,n,m,r,s,t,answer,solver,time_ms,error
gnm-1000-1500-0,1000,1500,100,0,1,?!,?!,110,node budget exhausted in many_general_fallback
gnm-1000-1500-1,1000,1500,500,0,1,?!,?!,93,node budget exhausted in many_general_fallback
gnm-1000-2000-0,1000,2000,100,0,1,?!,?!,66,node budget exhausted in many_general_fallback
gnm-1000-2000-1,1000,2000,500,0,1,?!,?!,98,node budget exhausted in many_general_fallback
gnm-2000-3000-0,2000,3000,200,0,1,?!,?!,109,node budget exhausted in many_general_fallback
gnm-2000-3000-1,2000,3000,1000,0,1,?!,?!,119,node budget exhausted in many_general_fallback
gnm-2000-4000-0,2000,4000,200,0,1,?!,?!,41,maximum recursion depth exceeded
gnm-2000-4000-1,2000,4000,1000,0,1,?!,?!,38,maximum recursion depth exceeded while calling a Python object
gnm-3000-4500-0,3000,4500,300,0,1,?!,?!,41,maximum recursion depth exceeded while calling a Python object
gnm-3000-4500-1,3000,4500,1500,0,1,?!,?!,44,maximum recursion depth exceeded
gnm-3000-6000-0,3000,6000,300,0,1,?!,?!,52,maximum recursion depth exceeded
gnm-3000-6000-1,3000,6000,1500,0,1,?!,?!,50,maximum recursion depth exceeded while calling a Python object
gnm-4000-6000-0,4000,6000,400,0,1,?!,?!,57,maximum recursion depth exceeded
gnm-4000-6000-1,4000,6000,2000,0,1,?!,?!,55,maximum recursion depth exceeded
gnm-4000-8000-0,4000,8000,400,0,1,?!,?!,69,maximum recursion depth exceeded
gnm-4000-8000-1,4000,8000,2000,0,1,?!,?!,63,maximum recursion depth exceeded while calling a Python object
gnm-5000-7500-0,5000,7500,500,0,1,-1,unreachable,0,
gnm-5000-7500-1,5000,7500,2500,0,1,-1,unreachable,0,
gnm-5000-10000-0,5000,10000,500,0,1,?!,?!,77,maximum recursion depth exceeded
gnm-5000-10000-1,5000,10000,2500,0,1,?!,?!,76,maximum recursion depth exceeded while calling a Python object
grid-5-0,25,56,8,0_0,4_4,8,fallback,0,
grid-5-1,25,56,6,0_0,4_4,6,fallback,0,
grid-5-2,25,56,10,0_0,4_4,10,fallback,1,
grid-10-0,100,261,36,0_0,9_9,?!,?!,103,node budget exhausted in many_general_fallback
grid-10-1,100,261,31,0_0,9_9,?!,?!,90,node budget exhausted in many_general_fallback
grid-10-2,100,261,41,0_0,9_9,?!,?!,115,node budget exhausted in many_general_fallback
grid-25-0,625,1776,288,0_0,24_24,?!,?!,70,node budget exhausted in many_general_fallback
grid-25-1,625,1776,276,0_0,24_24,?!,?!,96,node budget exhausted in many_general_fallback
grid-25-2,625,1776,300,0_0,24_24,?!,?!,72,node budget exhausted in many_general_fallback
grid-50-0,2500,7301,1176,0_0,49_49,?!,?!,144,node budget exhausted in many_general_fallback
grid-50-1,2500,7301,1151,0_0,49_49,?!,?!,138,node budget exhausted in many_general_fallback
grid-50-2,2500,7301,1201,0_0,49_49,?!,?!,95,node budget exhausted in many_general_fallback
increase-n8-1,8,16,6,2,5,2,dag,0,
increase-n8-2,8,13,4,11,12,1,dag,0,
increase-n8-3,8,20,4,8,14,1,dag,0,
increase-n10-1,10,21,5,6,9,2,dag,0,
increase-n10-2,10,29,7,5,15,3,dag,0,
increase-n10-3,10,26,8,19,15,-1,unreachable,0,
