----------------------------------------------------
Instance name          n      A   F   M     N      S
wall-n-1000        8,000  False   0  ?!     1     ?!
wall-n-10000      80,000  False   0  ?!     1     ?!
wall-n-2              16  False   0   0     1     ?!
wall-n-3              24  False   0   0     1     ?!
wall-n-4              32  False   0   0     1     ?!
wall-p-1               8  False   0   1     1     ?!
wall-p-10             62  False   0   1     1     ?!
wall-p-100           602  False   0  ?!     1     ?!
wall-p-1000        6,002  False   0  ?!     1     ?!
wall-p-10000      60,002  False   0  ?!     1     ?!
wall-p-2              14  False   0   1     1     ?!
wall-p-3              20  False   0   1     1     ?!
wall-p-4              26  False   0   1     1     ?!
wall-z-1               8  False   0   1     1     ?!
wall-z-10             71  False   0   0     1     ?!
wall-z-100           701  False   0  ?!     1     ?!
wall-z-1000        7,001  False   0  ?!     1     ?!
wall-z-10000      70,001  False   0  ?!     1     ?!
wall-z-2              15  False   0   0     1     ?!
wall-z-3              22  False   0   0     1     ?!
wall-z-4              29  False   0   0     1     ?!
----------------------------------------------------
