instance,n,m,r,s,t,answer,time_ms
smallworld-40-0,1600,4431,40,0_0,39_39,8,1
smallworld-40-1,1600,4431,800,0_0,39_39,13,1
smallworld-50-0,2500,6930,50,0_0,49_49,3,0
smallworld-50-1,2500,6930,1250,0_0,49_49,-1,2
wall-n-1,8,8,1,7,0,1,0
wall-n-10,80,89,1,7,0,1,0
wall-n-100,800,899,1,7,0,1,0
wall-n-1000,8000,8999,1,7,0,1,0
wall-n-10000,80000,89999,1,7,0,1,0
wall-n-2,16,17,1,7,0,1,0
wall-n-3,24,26,1,7,0,1,0
wall-n-4,32,35,1,7,0,1,0
wall-p-1,8,8,1,7,0,1,0
wall-p-10,62,71,1,7,0,1,0
wall-p-100,602,701,1,7,0,1,0
wall-p-1000,6002,7001,1,7,0,1,0
wall-p-10000,60002,70001,1,7,0,1,0
wall-p-2,14,15,1,7,0,1,0
wall-p-3,20,22,1,7,0,1,0
wall-p-4,26,29,1,7,0,1,0
wall-z-1,8,8,1,7,0,1,0
wall-z-10,71,80,1,7,0,1,0
wall-z-100,701,800,1,7,0,1,0
wall-z-1000,7001,8000,1,7,0,1,0
wall-z-10000,70001,80000,1,7,0,1,0
wall-z-2,15,16,1,7,0,1,0
wall-z-3,22,24,1,7,0,1,0
wall-z-4,29,32,1,7,0,1,0
